"SCD"	"Transcripts"	"Gender"	"Age"	"Ethnicity"	"Education"	"Occupation"	"Languages"	"First.Lang"	"Partner.ID"	"Relationship"	"conv"	"ah"	"lah"	"lor"	"leh"	"hor"	"mah"	"meh"	"sia"
"3024-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3024-1"	"FRIENDS"	"3024"	40	118	21	42	3	0	20	3

"3025-1"	"Same Room"	"M"	"2X"	"CHINESE"	"N-LEVEL"	"MILITARY"	"ENGLISH"	"ENGLISH"	"3025-2"	"FRIENDS"	"3025"	53	45	0	0	0	0	0	0

"3025-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"MILITARY"	"ENGLISH"	"ENGLISH"	"3025-1"	"FRIENDS"	"3025"	65	50	2	1	0	0	0	1

"3026-1"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3026-2"	"FRIENDS"	"3026"	68	63	28	26	2	25	5	10

"3026-2"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"MANAGEMENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3026-1"	"FRIENDS"	"3026"	68	80	13	12	1	8	11	7

"3027-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3027-2"	"FRIENDS"	"3027"	64	57	14	17	3	2	13	9

"3027-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3027-1"	"FRIENDS"	"3027"	48	37	1	26	0	1	6	2

"3028-1"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3028-2"	"FRIENDS"	"3028"	114	193	14	24	8	22	6	2

"3028-2"	"Same Room"	"F"	"3X"	"CHINESE"	"DIPLOMA"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3028-1"	"FRIENDS"	"3028"	22	51	5	14	0	0	2	0

"3030-1"	"Same Room"	"M"	"4X"	"CHINESE"	"BACHELOR"	"ANALYST"	"ENGLISH, CHINESE"	"ENGLISH"	"3030-2"	"PARTNER"	"3030"	641	377	20	10	1	31	8	0

"3030-2"	"Same Room"	"F"	"3X"	"CHINESE"	"BACHELOR"	"HOMEMAKER"	"ENGLISH, CHINESE"	"ENGLISH"	"3030-1"	"PARTNER"	"3030"	93	24	2	6	6	1	4	1

"3031-1"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3031-2"	"FRIENDS"	"3031"	42	18	14	6	1	1	9	7

"3031-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3031-1"	"FRIENDS"	"3031"	19	36	7	6	0	5	1	13

"3032-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3032-2"	"FRIENDS"	"3032"	27	32	6	7	2	0	0	0

"3032-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3032-1"	"FRIENDS"	"3032"	62	44	10	19	1	0	4	0

"3033-1"	"Same Room"	"M"	"2X"	"MALAY"	"BACHELOR"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3033-2"	"FRIENDS"	"3033"	41	5	0	0	0	0	0	0

"3033-2"	"Same Room"	"M"	"2X"	"MALAY"	"BACHELOR"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3033-1"	"FRIENDS"	"3033"	77	3	0	0	0	0	0	4

"3034-1"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3034-2"	"FRIENDS"	"3034"	44	32	6	2	1	2	2	0

"3034-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3034-1"	"FRIENDS"	"3034"	66	205	15	20	0	4	3	5

"3035-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3035-2"	"FRIENDS"	"3035"	69	50	9	1	0	0	2	0

"3035-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3035-1"	"FRIENDS"	"3035"	83	88	5	6	3	0	2	23

"3036-1"	"Same Room"	"F"	"2X"	"INDIAN"	"BACHELOR"	"STUDENT"	"ENGLISH, TAMIL"	"ENGLISH"	"3036-2"	"FAMILY"	"3036"	154	29	1	1	0	0	0	0

"3036-2"	"Same Room"	"F"	"5X"	"INDIAN"	"A-LEVEL"	"HEALTHCARE"	"ENGLISH, TAMIL"	"ENGLISH"	"3036-1"	"FAMILY"	"3036"	78	102	1	8	0	1	0	3

"3037-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3037-2"	"FRIENDS"	"3037"	22	50	4	4	0	4	0	0

"3037-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3037-1"	"FRIENDS"	"3037"	42	31	3	10	2	0	2	0

"3038-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"UNEMPLOYED"	"ENGLISH, CHINESE"	"ENGLISH"	"3038-2"	"FRIENDS"	"3038"	35	45	10	12	7	1	11	2

"3038-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3038-1"	"FRIENDS"	"3038"	28	94	20	21	5	5	15	2

"3039-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"FINANCE"	"ENGLISH, CHINESE"	"ENGLISH"	"3039-2"	"FRIENDS"	"3039"	79	92	11	5	1	0	4	8

"3039-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"CIVIL SERVANT"	"ENGLISH, CHINESE"	"ENGLISH"	"3039-1"	"FRIENDS"	"3039"	97	126	18	5	0	4	0	2

"3040-1"	"Same Room"	"F"	"1X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3040-2"	"FRIENDS"	"3040"	59	100	15	65	5	1	14	10

"3040-2"	"Same Room"	"F"	"1X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3040-1"	"FRIENDS"	"3040"	84	59	40	18	5	3	10	24

"3041-1"	"Same Room"	"M"	"2X"	"MALAY"	"DIPLOMA"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3041-2"	"FRIENDS"	"3041"	13	37	2	1	0	0	0	3

"3041-2"	"Same Room"	"M"	"2X"	"MALAY"	"DIPLOMA"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3041-1"	"FRIENDS"	"3041"	9	13	0	1	0	1	3	3

"3042-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3042-2"	"PARTNER"	"3042"	8	45	0	0	0	0	0	0

"3042-2"	"Same Room"	"M"	"3X"	"CHINESE"	"BACHELOR"	"CIVIL SERVANT"	"ENGLISH, CHINESE"	"ENGLISH"	"3042-1"	"PARTNER"	"3042"	16	76	1	0	0	0	1	0

